NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
42,IT Coordinator in School,2022/EHW/ESSC/05117,The individual at work is responsible for operating and maintaining e-learning hardware as well as updating and operating e-learning application. The individual also assists teachers and students in operating the e-learning applications.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,E Learning Management,IT Supervisor In School,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
43,Field Technicians – UPS and Inverter,2022/EHW/ESSC/05123,"The individual at work installs the newly purchased UPS or inverter and interacts with customers to diagnose problems in them, assess possible causes, rectify faults or replace faulty modules or recommends factory repairs for bigger faults.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Sales and After Sales Service,Service Engineer- UPS Inverter and Control Panel,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
44,PCB Assembly Operator,2022/EHW/ESSC/05124,PCB assembly operator is responsible for manually placing different types of components on the PCB as per the design requirements and then soldering them.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Manufacturing,Assembly Supervisor,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
45,Welding Operator Electronics,2022/EHW/ESSC/05107,"A Welding Operator Electronics is responsible for bonding the electro-tinned copper lead wire to the centre of steel and cap, of the resistor by welding process.",Electronics & HW,Level 3,420 Hours,420 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production,Wire Bonding Operator,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""150""}",,
46,DTH Set-top Box Installer and Service Technician,2022/EHW/ESSC/05125,"A DTH Set-top Box Installer and Service Technician is responsible for installing the set-top box at customer’s premises, addresses the field serviceable complaints and coordinates with the technical team for activation of new connections.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,DTH/DAS Set Top Box Service Engineer,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
47,LED Light Repair Technician,2022/EHW/ESSC/05126,A LED Light Repair Technician is responsible for checking the non-functional LED light in a systematic manner to find out the fault; dismantles it; repairs the fault and reassemble the light to make it functional.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Installation,LED Light Project Engineer,Multi-Skill Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
48,Smartphone Assembly Technician,2022/EHW/ESSC/05113,"A Smartphone assembly technician is responsible for interpreting assembly instructions, blueprint specifications, etc. to assemble or fix smartphone parts/components in correct position and alignment using approved techniques and equipment in a production unit.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Manufacturing,Assembly Supervisor,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
49,Pick-and-Place Assembly Operator,2022/EHW/ESSC/05139,"A Pick-and-Place Assembly Operator at work programs, operates and maintains the automated pick-and-place machine for placing different types of components on the surface of PCBs for soldering.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly and soldering,EMS Supervisor,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
50,Electronics Manufacturing Services Technician,2022/EHW/ESSC/05136,"Electronics Manufacturing Services Technician in this job job works on SMT machines, circuit boards and soldering equipment. The individual is responsible for the maintenance and troubleshooting of SMT equipment and also assists in the assembly and programming of SMT equipment.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly and soldering,EMS Supervisor,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
51,Solar Panel Installation Technician,2022/EHW/ESSC/05118,"Solar Panel Installation Technician in this job checks the installation site, understands the layout requirement as per design, assesses precautionary measures to be taken, installs the solar panel as per customers requirement and ensures effective functioning of the system post installation",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Installation,Solar Panel Installation Engineer,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
52,Digital Cable Technician – Access,2022/EHW/ESSC/05138,"Digital Cable Technician in this job programs, install, maintenance and repair of cable television and set-top box at premises. The technicians work on the trunk line and sub-trunk line, and inspect cable lines, lay cables under or on top of the building and repair cable faults.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jan 2027,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Digital Cable TV Supervisor- Network,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""236"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
53,HVAC Technician,2022/EHW/ESSC/05133,"The individual in this job role maintains and repairs heating, air conditioning and ventilation systems in commercial and industrial areas. The individual engages with the client to understand the work requirement and follows organizational norms to complete the work.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Support,HVAC Supervisor,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
54,Through-hole Assembly Operator,2022/EHW/ESSC/05128,"A Through-hole Assembly Operator is responsible for manually fixing components using hand tools, operating and maintaining the automated insertion machine used for placing different types of components on the through-hole PCBs.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly and Soldering,EMS Supervisor,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
55,Wireman Control Panel Electronics,2022/EHW/ESSC/05129,The individual at work is responsible for wiring all components present within the panel as per specifications provided by the design engineering team.,Electronics & HW,Level 3,420 Hours,420 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Manufacturing,"Electrical Assembly Supervisor – Control
Panel","Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""150""}",,
56,AR/VR Developer,2021/ME/MESC/04873,"Augmented Reality (AR) developers enhances the user experiences by overlaying digital information on top of the real world. The virtual reality designer develops virtual reality to simulate the user experiences and the complex object interactions or services with one another and with the user.
The individual in this role is to works closely/ guide the various execution team, pre-production team, asset development team, technical team throughout the visualisation design and development process to ensure that the final product will accomplish the object of the project. AR/VR developers are responsible for putting the plan into action, which may include designing AR assets, along with providing support and ongoing maintenance for the user during project life cycle.",Media & Entertainment,Level 6,1230 Hours,1080 Hours,Version ,30 Dec 2021,30 Dec 2026,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Game Design,"Entrepreneur, Chief Technology Officer",Future Skills Qualification,N.A.,"{""Theory"":""420"",""Practical"":""600"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
57,Retail Outlet Attendant (Oil & Gas),2022/HYC/HSSCI/05172,"Individuals need to work at fuel station and fill required quantity and appropriate type of fuel (petrol, diesel, and CNG) in the vehicles, while following standard safety procedures. The individuals at the job also need to complete and close financial transaction for the services rendered.",Hydrocarbon,Level 3,330 Hours,330 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Retail Distribution,Retail Outlet Supervisor (Oil & Gas),General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
58,LPG Delivery Personnel,2022/HYC/HSSCI/05173,"Individuals at this job need to collect LPG cylinders from the godown and deliver and install them in the consumers’ kitchen, while following standard safety procedures. The individual must also complete the financial transaction for the service rendered.",Hydrocarbon,Level 3,330 Hours,330 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,LPG Distribution,Supervisor-LPG Distribution/Godown,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
59,Tank Lorry Driver - Petroleum Products,2022/HYC/HSSCI/05174,"Individual at this Job needs to deliver gasoline, fuel oil, liquefied petroleum gas, lubricant oil etc. to customers. His main work includes positioning of the truck to filling rack, open valves, start pumps, connect the respective hoses to tank, records amount delivered, maintain the check list and drive the truck to the respective outlet.",Hydrocarbon,Level 4,450 Hours,450 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Transportation (Oil & Gas),Movement between different types of Vehicles used in the oil and gas industry,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
60,Assistant Costume Designer,2021/ME/MESC/04864,"Assistant Costume Designer assists the Costume designer who designs costumes for a film, stage, production or television shout. The assistant costume designer is to make the characters' outfits/costumes as per the direction of Costume designer.
Coordinates elements for fittings including all pulled and purchased items. Creates dressing lists as needed for wardrobe and maintains production bible. Attends production meetings and rehearsals as needed.",Media & Entertainment,Level 3,600 Hours,510 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skill Council,Costume Designing,"•	Costume Designer at NSQF level 4
•	Costume Supervisor at NSQF Level 5",General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""300"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",,
61,LPG Mechanic,2022/HYC/HSSCI/05175,"Individuals at this job need to do installation of LPG cylinders for the new connection at customer’s premises (domestic, commercial and industrial), while following standard safety procedures. The individual is also responsible for creating customer awareness on safe usage of LPG and allied equipment as well as DO’s and DON’T’s in case of emergency and must have technical knowledge for attending complaints of LPG and allied products. The job also requires to carry out mandatory inspection periodically at customer premises and attending emergency complaints within specified timeline. The personnel must demonstrate customer centricity and foresee potential obstacles and hazards that may occur.",Hydrocarbon,Level 3,330 Hours,330 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,LPG Installation & Complaint Handling,Supervisor-LPG Distribution,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
